,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
273,FORD F150 Raptor,3.5,6,SemiAuto-10,4WD,Gasoline,pickup,3.0,15.0,18.0,16.0,2,No
274,FORD Flex,3.5,6,SemiAuto-6,2WD,Gasoline,standard SUV,3.0,16.0,23.0,19.0,3,No
275,FORD Flex,3.5,6,SemiAuto-6,4WD,Gasoline,standard SUV,3.0,15.0,21.0,17.0,3,No
276,FORD Flex,3.5,6,SemiAuto-6,4WD,Gasoline,standard SUV,3.0,16.0,22.0,18.0,3,No
277,FORD Fusion,1.5,4,SemiAuto-6,2WD,Gasoline,midsize car,7.0,23.0,34.0,27.0,6,No
278,FORD Fusion,2.0,4,SemiAuto-6,2WD,Gasoline,midsize car,5.0,21.0,31.0,25.0,5,No
279,FORD Fusion,2.0,4,SemiAuto-6,4WD,Gasoline,midsize car,5.0,20.0,29.0,23.0,5,No
280,FORD Fusion,2.5,4,Auto-6,2WD,Gasoline,midsize car,5.0,21.0,32.0,25.0,5,No
281,FORD Fusion,2.7,6,SemiAuto-6,4WD,Gasoline,midsize car,5.0,17.0,26.0,20.0,4,No
282,FORD Fusion Hybrid,2.0,4,CVT,2WD,Gasoline,midsize car,7.0,43.0,41.0,42.0,9,Yes
283,FORD Transit Connect,2.5,4,SemiAuto-6,2WD,Gasoline,special purpose,3.0,19.0,27.0,22.0,4,No
284,FORD Transit Connect,2.5,4,SemiAuto-6,2WD,Gasoline,special purpose,3.0,20.0,27.0,23.0,5,No
285,GENESIS G80,3.3,6,SemiAuto-8,2WD,Gasoline,large car,3.0,17.0,25.0,20.0,4,No
286,GENESIS G80,3.3,6,SemiAuto-8,4WD,Gasoline,large car,3.0,17.0,24.0,20.0,4,No
287,GENESIS G80,3.8,6,SemiAuto-8,2WD,Gasoline,large car,5.0,19.0,27.0,22.0,4,No
288,GENESIS G80,3.8,6,SemiAuto-8,4WD,Gasoline,large car,5.0,18.0,25.0,20.0,4,No
289,GENESIS G80,5.0,8,SemiAuto-8,2WD,Gasoline,large car,5.0,16.0,24.0,19.0,3,No
290,GENESIS G80,5.0,8,SemiAuto-8,4WD,Gasoline,large car,5.0,15.0,23.0,18.0,3,No
291,GENESIS G90,3.3,6,SemiAuto-8,2WD,Gasoline,large car,3.0,17.0,24.0,20.0,4,No
292,GENESIS G90,3.3,6,SemiAuto-8,4WD,Gasoline,large car,3.0,17.0,24.0,20.0,4,No
293,GENESIS G90,5.0,8,SemiAuto-8,2WD,Gasoline,large car,5.0,16.0,24.0,19.0,3,No
294,GENESIS G90,5.0,8,SemiAuto-8,4WD,Gasoline,large car,5.0,15.0,23.0,18.0,3,No
295,GMC Acadia,2.5,4,Auto-6,2WD,Gasoline,standard SUV,3.0,21.0,26.0,23.0,5,No
296,GMC Acadia,2.5,4,Auto-6,4WD,Gasoline,standard SUV,3.0,21.0,25.0,23.0,5,No
297,GMC Acadia,3.6,6,Auto-6,2WD,Gasoline,standard SUV,5.0,18.0,25.0,21.0,4,No
298,GMC Acadia,3.6,6,Auto-6,4WD,Gasoline,standard SUV,5.0,17.0,25.0,20.0,4,No
299,GMC Canyon,2.5,4,Auto-6,2WD,Gasoline,pickup,5.0,20.0,26.0,22.0,4,No
300,GMC Canyon,2.5,4,Auto-6,4WD,Gasoline,pickup,5.0,19.0,24.0,21.0,4,No
301,GMC Canyon,2.5,4,Man-6,2WD,Gasoline,pickup,5.0,20.0,26.0,22.0,4,No
302,GMC Canyon,2.8,4,Auto-6,2WD,Diesel,pickup,3.0,22.0,30.0,25.0,4,No
303,GMC Canyon,2.8,4,Auto-6,4WD,Diesel,pickup,3.0,20.0,28.0,23.0,4,No
304,GMC Canyon,3.6,6,Auto-8,2WD,Gasoline,pickup,5.0,18.0,25.0,20.0,4,No
305,GMC Canyon,3.6,6,Auto-8,2WD,Gasoline,special purpose,5.0,15.0,15.0,15.0,2,No
306,GMC Canyon,3.6,6,Auto-8,4WD,Gasoline,pickup,5.0,17.0,24.0,19.0,3,No
307,GMC Sierra 15,5.3,8,Auto-6,2WD,Gasoline,pickup,3.0,16.0,23.0,19.0,3,No
308,GMC Sierra 15,5.3,8,Auto-6,2WD,Gasoline,special purpose,3.0,15.0,20.0,17.0,3,No
309,GMC Sierra 15,5.3,8,Auto-6,4WD,Gasoline,pickup,3.0,16.0,22.0,18.0,3,No
310,GMC Sierra 15,5.3,8,Auto-6,4WD,Gasoline,special purpose,3.0,15.0,19.0,17.0,3,No
311,GMC Sierra 15,5.3,8,Auto-8,2WD,Gasoline,pickup,3.0,18.0,24.0,20.0,4,No
312,GMC Sierra 15,5.3,8,Auto-8,2WD,Gasoline,pickup,3.0,16.0,22.0,18.0,3,No
313,GMC Sierra 15,5.3,8,Auto-8,4WD,Gasoline,pickup,3.0,16.0,21.0,18.0,3,No
314,GMC Sierra 15,5.3,8,Auto-8,4WD,Gasoline,pickup,3.0,15.0,20.0,17.0,3,No
315,GMC Sierra 15,6.2,8,Auto-8,2WD,Gasoline,pickup,3.0,15.0,21.0,17.0,3,No
316,GMC Sierra 15,6.2,8,Auto-8,4WD,Gasoline,pickup,3.0,15.0,20.0,17.0,3,No
317,GMC Terrain,1.5,4,Auto-9,2WD,Gasoline,small SUV,5.0,26.0,30.0,28.0,6,No
318,GMC Terrain,1.5,4,Auto-9,4WD,Gasoline,small SUV,5.0,24.0,28.0,26.0,5,No
