,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
694,NISSAN Rogue,2.5,4,Auto-AV,2WD,Gasoline,SUV,6,22,27,24,7,yes
695,NISSAN Rogue,2.5,4,Auto-AV,4WD,Gasoline,SUV,6,21,26,23,7,yes
696,NISSAN Sentra,2.0,4,Man-6,2WD,Gasoline,midsize car,7,24,31,27,8,yes
697,NISSAN Sentra,2.0,4,Auto-AV,2WD,Gasoline,midsize car,7,25,33,28,8,yes
698,NISSAN Sentra,2.5,4,Man-6,2WD,Gasoline,midsize car,6,21,29,24,7,yes
699,NISSAN Sentra,2.5,4,Auto-AV,2WD,Gasoline,midsize car,6,24,30,26,8,yes
700,NISSAN Titan,5.6,8,Auto-L5,2WD,Gasoline,pickup,6,12,17,14,2,no
701,NISSAN Titan,5.6,8,Auto-L5,4WD,Gasoline,pickup,6,12,17,14,2,no
702,NISSAN Versa,1.8,4,Auto-L4,2WD,Gasoline,midsize car,7,24,32,27,8,yes
703,NISSAN Versa,1.8,4,Man-6,2WD,Gasoline,midsize car,7,26,31,28,8,yes
704,NISSAN Versa,1.8,4,Auto-AV,2WD,Gasoline,midsize car,7,27,33,29,8,yes
705,NISSAN Xterra,4.0,6,Auto-L5,2WD,Gasoline,SUV,7,15,20,17,4,no
706,NISSAN Xterra,4.0,6,Man-6,2WD,Gasoline,SUV,7,16,20,17,4,no
707,NISSAN Xterra,4.0,6,Auto-L5,4WD,Gasoline,SUV,7,14,20,16,4,no
708,NISSAN Xterra,4.0,6,Man-6,4WD,Gasoline,SUV,7,16,20,17,4,no
709,PONTIAC G5,2.2,4,Auto-L4,2WD,Gasoline,small car,9.5,22,31,26,8,yes
710,PONTIAC G5,2.2,4,Man-5,2WD,Gasoline,small car,9.5,24,33,27,8,yes
711,PONTIAC G5,2.2,4,Auto-L4,2WD,Gasoline,small car,6,22,31,26,8,yes
712,PONTIAC G5,2.2,4,Man-5,2WD,Gasoline,small car,6,24,33,27,8,yes
